300	-1.09175	6.23164
310	-0.99147	6.38798
320	-0.87669	6.47397
330	-0.79338	6.47152
340	-0.76351	6.38727
350	-0.85042	6.28691
360	-1.0391	6.27568
370	-1.19987	6.30773
380	-1.31258	6.34756
390	-1.39067	6.39445
400	-1.44208	6.39615
410	-1.48846	6.35346
420	-1.5459	6.28545
430	-1.59988	6.17081
440	-1.65414	6.01248
450	-1.70989	5.78701
460	-1.78887	5.48793
470	-1.91509	5.10062
480	-2.13929	4.60962
490	-2.51006	4.07402
500	-3.02845	3.55843
510	-3.6783	3.14179
520	-4.42829	2.81261
530	-5.13545	2.58799
540	-5.83448	2.4015
550	-6.53046	2.25207
560	-7.23041	2.12498
570	-7.91512	2.01651
580	-8.62122	1.92218
590	-9.32581	1.83487
600	-10.06202	1.76836
610	-10.79305	1.70529
620	-11.5117	1.64183
630	-12.25233	1.58952
640	-13.01836	1.55908
650	-13.78826	1.52226
660	-14.56469	1.50076
670	-15.34921	1.4835
680	-16.15491	1.48584
690	-16.94607	1.47419
700	-17.75821	1.49095
710	-18.5637	1.51642
720	-19.37266	1.54657
730	-20.20803	1.5868
740	-21.032	1.63149
750	-21.89523	1.6768
760	-22.73806	1.72608
770	-23.56208	1.76763
780	-24.44449	1.83107
790	-25.30127	1.8658
800	-26.15524	1.91466
810	-27.04313	1.97243
820	-28.02829	2.0673
830	-28.78762	2.08039
840	-29.73001	2.15986
850	-30.58938	2.21143
860	-31.61832	2.30972
870	-32.60613	2.41146
880	-33.53509	2.47974
890	-34.35211	2.49443
900	-35.29259	2.57205
910	-36.24005	2.64274
920	-37.24194	2.73761
930	-38.29171	2.84595
940	-39.24657	2.91645
950	-40.25799	3.01016
960	-41.24681	3.09144
970	-42.33557	3.21289
980	-43.34852	3.30014
990	-44.44372	3.42353
1000	-45.32877	3.45709
1010	-46.47494	3.59653
1020	-47.37713	3.64553
1030	-48.90458	3.89949
1040	-50.01035	4.0195
1050	-51.17199	4.12935
1060	-52.17409	4.20116
1070	-53.41652	4.36351
1080	-54.63488	4.52366
1090	-55.5834	4.54097
1100	-56.86596	4.69124
1110	-58.10825	4.89189
1120	-59.12716	4.98435
1130	-60.3628	5.15362
1140	-61.62568	5.27456
1150	-62.81631	5.36684
1160	-64.04257	5.50918
1170	-65.43215	5.7283
1180	-66.49066	5.7857
1190	-67.74099	5.93661
1200	-69.01546	6.11139
1210	-70.33761	6.18704
1220	-71.57333	6.42975
1230	-72.85249	6.59318
1240	-74.1788	6.74677
1250	-75.49253	6.9154
1260	-76.97471	7.1349
1270	-78.07521	7.15894
1280	-79.35793	7.31581
1290	-80.79319	7.53093
1300	-82.20092	7.75352
1310	-83.54681	7.93324
1320	-84.92955	8.09508
1330	-86.29082	8.2732
1340	-87.73688	8.50719
1350	-89.10876	8.72986
1360	-90.5513	8.94059
1370	-91.93179	9.1151
1380	-93.33287	9.31065
1390	-94.7705	9.53025
1400	-96.32425	9.68429
1410	-97.77868	9.98098
1420	-99.2215	10.18913
1430	-100.54904	10.24699
1440	-102.07088	10.51649
1450	-103.55585	10.74085
1460	-105.16296	10.94375
1470	-106.77733	11.27169
1480	-108.05608	11.40017
1490	-109.5214	11.64287
1500	-111.27247	11.80593
1510	-112.67238	12.14572
1520	-114.39112	12.40187
1530	-115.7644	12.59655
1540	-117.63401	12.9037
1550	-118.94878	13.01471
1560	-120.65011	13.3024
1570	-122.28667	13.48848
1580	-123.95805	13.79445
1590	-125.50911	14.13294
1600	-127.22092	14.52889
1610	-128.82386	14.69962
1620	-130.69471	14.97921
1630	-132.42861	15.21559
1640	-134.15021	15.53972
1650	-135.78133	15.79021
1660	-137.33345	16.20635
1670	-139.20947	16.5211
1680	-140.75476	16.70851
1690	-142.29119	16.84954
1700	-143.98363	17.48955
1710	-145.79278	17.55189
1720	-147.74455	17.8995
1730	-149.35888	18.18249
1740	-150.95847	18.43263
1750	-152.66645	18.65253
1760	-154.56025	18.95331
1770	-156.36257	19.28946
1780	-158.18348	19.59687
1790	-159.96538	19.93905
1800	-161.74889	20.27142
1810	-163.70255	20.74645
1820	-165.48466	20.99892
1830	-167.12218	21.25946
1840	-168.9197	21.58195
1850	-170.72082	21.94965
1860	-172.36215	22.21134
1870	-174.33337	22.55545
1880	-176.31906	22.99425
1890	-177.93927	23.26652
1900	-180.55921	23.93481
1910	-182.55019	24.39949
1920	-184.43396	24.82668
1930	-186.45757	25.12963
1940	-188.54055	25.49834
1950	-190.50811	25.90158
1960	-192.49269	26.20224
1970	-194.56513	26.57219
1980	-196.43075	26.99215
1990	-198.57594	27.48098
2000	-200.58769	27.89109
